querys	clarifying_question	flag
are you looking for documentaries of people who live with ocd	what is it like today living in india	0
are you looking for webmd websites or mayo clinic websites about angular cheilits	are you looking for pages that compare mitchell college with others	0
how to build a fence?	are you interested in the costs of building a fence	1
I'm looking for information about game and fish in Arizona.	would you like the location of the arizona fish and game comission	1
I'd like to learn about moths	are you interested in what draws a moth to flame	1
do you want a designer dog	do you want a designer dog	0
do you want to see the nearest rock and gem shows	would you like to see how to meet the legal requirement to be an equal opportunity employer	0
do you want to know more about one of the seven deadly sins	are you interested in tips for including more magnesium rich foods into your daily feet	0
I’m interested in old coins	do you want pictures of old coins	1
Tell me about uplift at yellowstone national park	do you want to know what the current uplift is at yellowstone national park	1
are you looking for reviews of hotels	would you like to know the definition of the word mean	0
want to know the nba alltime record holders	do you want pictures of rock art	0
are you looking for kiwi birds for sale	do you want to find recipes to learn how to make magnesium rich foods	0
are you interested on when er tv show started	are you looking for before or after results of flooding in manville nj due to hurricane irene	0
i will survive lyrics	do you want to hear the songs while you read the lyrics	1
are you looking for any legal information	would you like to compare different weather stripping products	0
Give me information on OCD.	are you looking for a test to check for ocd	1
Tell me more about satilies	are you talking about a spacecraft or a song	1
Find me information on sat	would you like to know about the most recent satellite sent into orbit	1
I'm interested in poker tournaments	do you want to know who won the last world series of poker	1
Find me information on sat	what would you like to schedule for saturday	1
Find information about flushing.	are you interested in ways to fix problems flushing the toilet	1
are you interested in more than one hip roof design	are you looking for information about computer viruses	0
would you like to know about lipomas based on any specific demographics	are you interested in finding out the rates for indexed annutiies	0
is this a hobby for an adult	do you want to know if gps technology is restricted in some locations	0
Tell me about Korean language.	are you wondering who speaks the korean language	1
do you need any specific information in relation with the federal wage system	do you like to know more about writing thank you notes for an interview	0
tell me about tangible personal property tax	do you want to know the tangible personal property tax	1
are you interested in a certain length of pvc pipe	do you want to know what channel espn is	0
Tell me about pampered chef	would you like to host the show	1
Tell me about of Ralph Owen Brester.	would you like to know what movie star portrayed brewster in the movie the aviator and what award the movie star was nominated for the performance	1
do you want names of companies that file income taxes online	should there be anything else besides the flames	0
Find information on raised gardens.	what type of information about raised gardens are you looking for	1
Tell me more about Culpeper National Cemetry	would you like to see services for the culpeper national cemetary today	1
do you want to know about indoor or outdoor grilling	are you interested in music streaming	0
What are the best recepies for grilling	are you looking for a grill for grilling food	1
What to do in Arkansas	are you interested in learning about arkansas	1
Find condos in Florida.	are you interested in any specific city in florida	1
would you like to know about yellowstones history of eruptions	would you like to know more about ocd	0
Tell me about the pacific northwest laboratory.	are you looking for a specific representative in relation to the company	1
I need information about the University of Phoenix.	do you want to know the cost of attending the university of phoenix	1
what area is florida are you interested in	what kind of school subject are you interested in making the halloween activities for	0
Tell me about Korean language.	are you wondering who speaks the korean language	1
would you like to see articles about wedding budgeting	are you interested in lodgings	0
Tell me about making chicken soup from scratch.	will you be making this at home or at a commercial kitchen	1
are you looking for a specific time period for	do you need information about voip phone services	0
are you looking for the basics of septic system design	would you like to know about home remedies for joint pain	0
are you interested in old town scottsdale	are you curious about the employment opportunies at the tennesse highway patrol	0
what specific supply would you like to buy for your raised garden	what specific supply would you like to buy for your raised garden	0
Tell about an adobe indian house?	do you want information about the construction of adobe houses	1
would you like to purchase universal animal cuts	do you want to know what sites you can watch tv on the computer at	0
are you looking for online promotions	are you wondering about pampered chef competitors	0
are you looking for some retailers	are you looking for a list of products	0
would you like to buy tickets for a specific event there	are you looking for reviews of a specific chicken soup recipe from scratch	0
Tell me about weather stripping	would you like to know where to buy weather strips	1
Tell me about Korean language.	are you looking for nearby classes	1
Tell me about Barbados.	would you like the latest news of barbados	1
would you like to host the show	are you interested in a specific titan	0
would you like to find the nearest pampered chef consultant	are you looking for famous people who have great memories	0
Tell me about of Ralph Owen Brester.	would you like to know the political positions ralph owen brewster held	1
Tell me about of Ralph Owen Brester.	who is ralph owen brewster	1
are you interested in a specific tribe	are you referring to a specific vehicle	0
do you need contact information for the university of phoenix	would you like to know the main events of the war	0
do you want to know unusual designer dog breeds	which part of connecticut are you interested in	0
which part of the river are you more interested in	do you neeed dry wall products	0
do you need technical specifications for the hp mini 2140	does the evidence have to be factual	0
would you like to know about environmental benefits of sustainable lead acid battery recycling	would you like to review universal animal cuts	0
do you want to know unusual designer dog breeds	would you like to know how to watch tv on your computer	0
Tell me about Starbucks.	are you interested in the stocks of starbucks	1
do you want to know about treatments	would you like a website about this topic	0
map	do you want a tourist map	1
tell me about rock and gem shows	what would you like to know about rock and gem shows	1
do you want to know more about one of the seven deadly sins	are you interested in how the illinois state tax is determined	0
are you referring to the company or the term do not resuscitate	are you referring to the movie rain man	0
are you looking for online promotions	do you mean peer social networking or professional social networking	0
Find information about the gs pay rate	do you want to know the pay range for a specific payscale	1
I'm looking for information on dieting	would you like a list of area doctors that can give professional advice on dieting	1
Give me espn sports information.	do you want espn sports corporate information	1
all men are created equal	would you like to learn more about the declaration of independence	1
I'm interested in InuYasha	would any specific game interest you	1
are you looking for a diet to help manage fibromyalgia	would you also like to delete your history	0
what price range of cell phones are you interested in	would you like a graph to be included with the results	0
are you looking for the basics of septic system design	are you looking for kiwi fruit for sale near you	0
How do I get my free annual credit report?	are you interested in learning how to read your credit report	1
do you want to know why its called ham radio	are you interested in the history of computer programming	0
Find me information about the Ritz Carlton Lake Las Vegas.	are you wondering where the ritz carlton in las vegas is located	1
would you like to buy ham radio equipment	would you like to buy ham radio equipment	0
Tell me about american military university.	do you want to know more about the the curriculum	1
do you want to know how to access a us capitol map	are you interested in barbados	0
I'm interested in InuYasha	would any specific game interest you	1
Tell me about Korean language.	are you looking for a dictionary	1
I want to learn about rock art.	do you wnat to decorate with rock art	1
tell me about mgb	are you looking to purchase an mgb	1
are you interested in knowing how iron is made	would you like to buy stencils online	0
are you looking for reviews of hotels	do you need to know if there is a patron saint for mental illness	0
what division of michworks are you interested in	would you like to see how a hip roof looks like	0
How can I quick smoking	are you having trouble quitting somking	1
are you looking to buy the album the wall online	are you looking for information on the anatomy of horse hooves	0
would you like to learn more about how to exercise with the bowflex power pro	do you wish to do an entity search	0
Find information on raised gardens.	is information needed on best ways to care for the garden once planted	1
Find sewing instructions for me	are you interested to teach sewing to children	1
are you looking for online promotions	are you interested in cultivated or wild bobcats	0
are you looking for more information about churchill downs	do you want to know more about the 1957 novel	0
do you want to know how to access a us capitol map	are you looking for examples of rock art	0
are you looking for what mgb stands for	are you interested in the histroy behind it	0
I'd like to learn about moths	are you wondering what moths eat	1
which ps 2 game genres are you interested in	do you want movie reviews	0
tell me about wilson antenna	which type of antenna are you interested in	1
are you interested in more than one hip roof design	would you like information about their breeding	0
Tell me about er television show.	what season of er are you interested in	1
want to know the nba alltime record holders	do you want contact information for the board	0
are you interested in the television series defender	do you need details on where jax chemical company is	0
would you like to know what plants are native to madagascar	which part of the us capitol are you more interested in	0
are you trying to determine whats a safe amount of iron in your blood	would any specific game interest you	0
would you want movie reviews	are you interested in visiting the national museum of african american music	0
Where can I find information about forearm pain?	are you looking for any specific web pages	1
are you looking to buy a scooter	would you like to book a room in raffles hotel in dubai	0
I'm looking for keyboard reviews	do yo want to know about keyboards internationally	1
do you want to attend a pampered chef party	do you need to see what is sold there	0
are you looking for webmd websites or mayo clinic websites about angular cheilits	would you like to know the average charitable donation based on income level in 2019	0
Find information about the sun.	are you interested in the suns size	1
Give me espn sports information.	are you looking for information on a specific league	1
Tell me more about indiana state fairgrounds.	do you want to know the city where the indiana state fairgrounds are located	1
do you want to know how to define a function in a programming language?	are you interested in the farm fresh tours	0
I'm interested in dinosaurs	which dinosaurs are you interested in	1
do you want to know about future missions	would you like to see some pictures of designer dog breeds	0
are you wondering about soccer	what would you like to know about vldl levels	0
would you like to look up where you can get golf equipment	would you like to know more about the russian civil war	0
How do I get my free annual credit report?	do you want information on what is in a credt report	1
Find information on Porterville.	are you looking for a contact number for the city government	1
Find information about penguins.	are you looking for a specific web page	1
tell me about Voyager	would you like to know where the voyager is today	1
are you looking for information about staying at fickle creek farm	would you like to be hired by french lick casino and resort	0
Tell me about Bellevue.	are you looking for the university the bellevue	1
Find information on Porterville.	do you want the history of porterville	1
what place do you want a map of	would you like to see trombones for sale on amazon	0
I'm looking for information on hobby stores	is this for a school craft or play	1
would like to go hunting or fishing in arizona	do you want to know how often the rules of golf changes	0
Tell me more about dnr	do you want to know if dnr is legal where you live	1
tell me about iron	are you looking for iron metal products	1
which use of that quote are you interested in	are you keeping people out or animals in	0
Tell me more about indiana state fairgrounds.	what event do you want to attend at the fairgrounds	1
Find condos in Florida.	are you looking to buy or lease	1
Tell me information about Volvo.	is your volvo having a maintenance issue	1
would you like to know how to calculate mean in excel	would you like to know how the uss cole was repaired	0
What are the best recepies for grilling	do you need to know where you can purchase a grill	1
do you want a designer dog	are you looking for lipoma removal	0
Tell me more about Euclid	are you looking for a specific kind of truck	1
I'm interested in poker tournaments	are you interested in learning how to play poker	1
Tell me information about Volvo.	what year of volvo do you need information about	1
I'm looking for information about mayo clinic Jacksonville FL	have you been to this clinic before	1
Tell me more about Hawain volcanos	are you interested in what hawaiian volcano observatories do	1
map	would you like a map with services or sites of interest listed	1
I'm looking for information about game and fish in Arizona.	are you looking for hunting guides	1
Tell me about uplift at yellowstone national park	would you like to know why some scientists think the yellowstone volcano is in the process of dying	1
Tell me about cell phones.	are you interested in a specific brand of cell phone	1
Tell me about scooters.	are you looking for locations that have the scooters	1
Information about bobcat	would you like to know the location of the headquarters of the company bobcat	1
would you like to know how to avoid capital gains tax rate	are you interested to see male menopause jokes	0
are you trying to quit smoking	would you like the original bewitched cast	0
are you looking for employment with sonoma country medical	which viewpoint of the american revolutionary are you interested in	0
I’m looking for blue throated hummingbird	do you want to know if blue throated hummingbirds are nice	1
would you like to know about blushing	do you like to know more about the 50 states on the us map	0
What are the causes of lipoma tumors	are you referring to a medical condition for your pet	1
Tell me about Internet phone serices.	do you need technical support related to your service	1
Tell me about texas border patrol.	do you want a phone number to call	1
Tell me about Starbucks.	do you need directions to the nearest starbucks	1
would you like to buy ham radio equipment	do you need information about a volvo dealership	0
Tell me about electronic skeet shoot.	would you wanting to know how to set one up	1
are you looking for the history of classical music	do you want to know where worms come from	0
are you interested in the folk remedies from a specific countries	are you interested in the folk remedies from a specific countries	0
Where can I find information about forearm pain?	are you looking for treatments to forearm pain	1
Find information about the wall	are you interested in downloading the album the wall	1
are you interested in knowing the avergae salary of an employee of the tennessee highway patrol	are you interested in buying a tv with a computer included	0
Tell me about of Ralph Owen Brester.	what is ralph owen brewsters background	1
Find information about living in India.	do you want to know foreigners feelings about living in india	1
I'm looking for information about game and fish in Arizona.	would like to go hunting or fishing in arizona	1
I'm looking for information on dieting	how much weight do you want to lose while dieting	1
Find information on French Lick Resort and Casino.	would you like to see all listings for casinos in french lick	1
Tell me about Korean language.	are you interested in korean language degrees	1
are you looking for tests to diagnose carpal tunnel syndrome	would you like to know about risk factors of lymphoma in dogs	0
Tell me about madam cj walker	would you like historical information on madam cj walker	1
would you like to find the nearest pampered chef consultant	are you experiencing a flare up	0
Tell me about ps 2 games?	would you like to see a list of new released ps2 games	1
would you like to see news about culpeper national cemetary	are you trying to find the average number	0
Find information about the gs pay rate	are you looking for the us civil servant pay scale	1
are you trying to find out if they can use deadly force	are you interested in the challenges of wind energy	0
Tell me about Korean language.	are you looking for nearby classes	1
are you interested in the animal or the hockey team	are you looking for side effects of quitting smoking	0
is uss carl vilson log available	are you trying to find a golf instructor near you	0
How to change the toilet in the house	are you trying to fix your toilet	1
Which gps receiver I should buy	would you like to know how gps works	1
Tell me about Neil Young.	are you interested in neil youngs history	1
would you like to read some reviews	would you like to watch a debate with george bush sr	0
Find me map of USA	would you like to know more about us roads	1
are you wondering who used cheap internet	what similar species are you looking for	0
are you looking for a specific time period for	do you want to know the field o medicine doctor zhivago practices	0
are you wondering about soccer	are you wondering about soccer	0
would you like to purchase universal animal cuts	do you need to know the difference between a watch and a warning	0